experiment,roi,t_sec,amplitude_percent,amplitude_raw,prominence_percent,width_ms,rise_ms,decay_ms,snr,baseline,noise_sigma,gevi,file_path,auc
analysis_output,1,36.665898,1.2,0.011997,342.343,5.431,3.976,2.982,21.145374449339204,5.8e-05,1.496805,ASAP6.2,/Users/gts/Downloads/ASAP_experiments/ASAP6_2/240823121050_cluster_01-50mWpermm2/analysis_output/events/events_roi001.csv,0.0065172
analysis_output,1,36.919349,1.157,0.011565,335.041,5.87,3.976,2.982,20.387665198237883,0.000168,1.260413,ASAP6.2,/Users/gts/Downloads/ASAP_experiments/ASAP6_2/240823121050_cluster_01-50mWpermm2/analysis_output/events/events_roi001.csv,0.00679159
analysis_output,1,41.054077,0.572,0.005722,318.411,5.152,3.976,2.982,10.07929515418502,0.000132,1.302812,ASAP6.2,/Users/gts/Downloads/ASAP_experiments/ASAP6_2/240823121050_cluster_01-50mWpermm2/analysis_output/events/events_roi001.csv,0.002946944
analysis_output,1,41.09781,3.366,0.03366,403.108,5.889,3.976,2.982,59.31277533039647,0.00013,1.38377,ASAP6.2,/Users/gts/Downloads/ASAP_experiments/ASAP6_2/240823121050_cluster_01-50mWpermm2/analysis_output/events/events_roi001.csv,0.019822374
analysis_output,1,46.090296,1.6,0.016,304.628,5.673,3.976,2.982,28.19383259911894,-0.000442,1.559595,ASAP6.2,/Users/gts/Downloads/ASAP_experiments/ASAP6_2/240823121050_cluster_01-50mWpermm2/analysis_output/events/events_roi001.csv,0.009076800000000001
analysis_output,1,47.415198,2.722,0.027218,289.353,5.202,3.976,3.976,47.964757709251096,-2.9e-05,1.360293,ASAP6.2,/Users/gts/Downloads/ASAP_experiments/ASAP6_2/240823121050_cluster_01-50mWpermm2/analysis_output/events/events_roi001.csv,0.014159844
analysis_output,1,49.022375,1.377,0.013774,351.067,5.696,3.976,2.982,24.264317180616736,-6.7e-05,1.488167,ASAP6.2,/Users/gts/Downloads/ASAP_experiments/ASAP6_2/240823121050_cluster_01-50mWpermm2/analysis_output/events/events_roi001.csv,0.007843392
analysis_output,1,49.849321,2.637,0.026369,311.695,4.77,2.982,2.982,46.4669603524229,0.000468,1.41519,ASAP6.2,/Users/gts/Downloads/ASAP_experiments/ASAP6_2/240823121050_cluster_01-50mWpermm2/analysis_output/events/events_roi001.csv,0.01257849
analysis_output,1,50.63154,2.722,0.027222,288.242,5.005,3.976,2.982,47.964757709251096,0.000118,1.279175,ASAP6.2,/Users/gts/Downloads/ASAP_experiments/ASAP6_2/240823121050_cluster_01-50mWpermm2/analysis_output/events/events_roi001.csv,0.01362361
analysis_output,1,51.774554,1.339,0.013386,294.644,5.558,3.976,4.97,23.59471365638766,2.4e-05,1.475254,ASAP6.2,/Users/gts/Downloads/ASAP_experiments/ASAP6_2/240823121050_cluster_01-50mWpermm2/analysis_output/events/events_roi001.csv,0.0074421619999999996
analysis_output,1,53.157104,2.06,0.020597,296.494,5.863,5.964,2.982,36.29955947136563,0.000341,1.276977,ASAP6.2,/Users/gts/Downloads/ASAP_experiments/ASAP6_2/240823121050_cluster_01-50mWpermm2/analysis_output/events/events_roi001.csv,0.01207778
analysis_output,1,54.105308,2.897,0.028969,311.207,5.438,4.97,2.982,51.04845814977973,9.4e-05,1.594479,ASAP6.2,/Users/gts/Downloads/ASAP_experiments/ASAP6_2/240823121050_cluster_01-50mWpermm2/analysis_output/events/events_roi001.csv,0.015753885999999998
analysis_output,1,54.134132,2.436,0.024364,436.258,5.344,2.982,2.982,42.92511013215858,0.000145,1.536732,ASAP6.2,/Users/gts/Downloads/ASAP_experiments/ASAP6_2/240823121050_cluster_01-50mWpermm2/analysis_output/events/events_roi001.csv,0.013017984
analysis_output,1,54.795092,2.743,0.027435,350.189,5.458,2.982,2.982,48.33480176211453,-0.000466,1.368979,ASAP6.2,/Users/gts/Downloads/ASAP_experiments/ASAP6_2/240823121050_cluster_01-50mWpermm2/analysis_output/events/events_roi001.csv,0.014971294
analysis_output,1,54.85771,2.613,0.026132,434.953,5.736,3.976,2.982,46.044052863436114,-0.000303,1.40686,ASAP6.2,/Users/gts/Downloads/ASAP_experiments/ASAP6_2/240823121050_cluster_01-50mWpermm2/analysis_output/events/events_roi001.csv,0.014988168
analysis_output,1,54.917345,0.587,0.005869,300.282,5.174,3.976,2.982,10.34361233480176,-0.000148,1.560657,ASAP6.2,/Users/gts/Downloads/ASAP_experiments/ASAP6_2/240823121050_cluster_01-50mWpermm2/analysis_output/events/events_roi001.csv,0.003037138
analysis_output,1,56.66069,2.683,0.026833,325.838,5.031,3.976,2.982,47.277533039647565,0.000331,1.503933,ASAP6.2,/Users/gts/Downloads/ASAP_experiments/ASAP6_2/240823121050_cluster_01-50mWpermm2/analysis_output/events/events_roi001.csv,0.013498172999999997
analysis_output,1,58.85627,3.15,0.031496,425.686,5.524,2.982,2.982,55.50660792951541,9.9e-05,1.377098,ASAP6.2,/Users/gts/Downloads/ASAP_experiments/ASAP6_2/240823121050_cluster_01-50mWpermm2/analysis_output/events/events_roi001.csv,0.017400600000000002
analysis_output,1,3.936937,7.564,0.075642,419.745,5.643,3.976,2.982,133.28634361233478,-0.000404,1.868942,ASAP6.2,/Users/gts/Downloads/ASAP_experiments/ASAP6_2/240823172853_cluster_04-50mWpermm2/analysis_output/events/events_roi001.csv,0.042683652
analysis_output,1,5.895964,6.006,0.060055,430.506,5.812,2.982,2.982,105.83259911894272,-4.7e-05,1.931722,ASAP6.2,/Users/gts/Downloads/ASAP_experiments/ASAP6_2/240823172853_cluster_04-50mWpermm2/analysis_output/events/events_roi001.csv,0.034906872
analysis_output,1,13.599878,4.654,0.046535,376.733,5.711,3.976,2.982,82.00881057268721,0.000205,2.267385,ASAP6.2,/Users/gts/Downloads/ASAP_experiments/ASAP6_2/240823172853_cluster_04-50mWpermm2/analysis_output/events/events_roi001.csv,0.026578994
analysis_output,1,15.202085,6.536,0.065356,372.565,5.554,3.976,2.982,115.17180616740086,0.001368,1.673643,ASAP6.2,/Users/gts/Downloads/ASAP_experiments/ASAP6_2/240823172853_cluster_04-50mWpermm2/analysis_output/events/events_roi001.csv,0.036300944
analysis_output,1,18.255423,14.803,0.148034,318.484,4.398,3.976,1.988,260.84581497797353,0.002702,2.412344,ASAP6.2,/Users/gts/Downloads/ASAP_experiments/ASAP6_2/240823172853_cluster_04-50mWpermm2/analysis_output/events/events_roi001.csv,0.065103594
analysis_output,1,18.317046,8.919,0.089188,331.099,5.158,3.976,2.982,157.16299559471364,0.001089,2.533664,ASAP6.2,/Users/gts/Downloads/ASAP_experiments/ASAP6_2/240823172853_cluster_04-50mWpermm2/analysis_output/events/events_roi001.csv,0.04600420200000001
analysis_output,1,21.197441,8.289,0.082895,406.446,5.822,3.976,2.982,146.06167400881054,9.7e-05,2.762337,ASAP6.2,/Users/gts/Downloads/ASAP_experiments/ASAP6_2/240823172853_cluster_04-50mWpermm2/analysis_output/events/events_roi001.csv,0.048258558
analysis_output,1,22.953707,12.54,0.125404,405.341,5.536,2.982,2.982,220.96916299559467,8.5e-05,2.501019,ASAP6.2,/Users/gts/Downloads/ASAP_experiments/ASAP6_2/240823172853_cluster_04-50mWpermm2/analysis_output/events/events_roi001.csv,0.06942143999999999
analysis_output,1,23.241945,-0.124,-0.001236,422.532,5.919,2.982,2.982,2.1850220264317177,-0.001072,2.480389,ASAP6.2,/Users/gts/Downloads/ASAP_experiments/ASAP6_2/240823172853_cluster_04-50mWpermm2/analysis_output/events/events_roi001.csv,-0.0007339559999999999
