experiment,roi,t_sec,amplitude_percent,amplitude_raw,prominence_percent,width_ms,rise_ms,decay_ms,snr,baseline,noise_sigma,gevi,file_path,auc
analysis_output,1,1.523687,15.345,0.153446,321.13,4.616,3.976,2.982,229.8876404494382,-0.000108,4.716235,ASAP6.2,/Users/gts/Downloads/ASAP_experiments/conservative/ASAP6_2/240823180449_cluster_06-50mWpermm2/analysis_output/events/events_roi001.csv,0.07083252
analysis_output,1,6.266698,14.311,0.143108,344.182,5.507,3.976,0.0,214.39700374531833,0.001195,5.157342,ASAP6.2,/Users/gts/Downloads/ASAP_experiments/conservative/ASAP6_2/240823180449_cluster_06-50mWpermm2/analysis_output/events/events_roi001.csv,0.078810677
analysis_output,1,6.834229,9.678,0.096785,399.108,5.437,3.976,2.982,144.98876404494382,-0.00322,4.394803,ASAP6.2,/Users/gts/Downloads/ASAP_experiments/conservative/ASAP6_2/240823180449_cluster_06-50mWpermm2/analysis_output/events/events_roi001.csv,0.05261928600000001
analysis_output,1,12.378344,18.21,0.182097,318.44,5.161,5.964,4.97,272.80898876404495,0.001902,4.911474,ASAP6.2,/Users/gts/Downloads/ASAP_experiments/conservative/ASAP6_2/240823180449_cluster_06-50mWpermm2/analysis_output/events/events_roi001.csv,0.09398181
analysis_output,1,12.469785,26.551,0.265511,420.248,5.097,2.982,2.982,397.76779026217224,0.000405,4.190379,ASAP6.2,/Users/gts/Downloads/ASAP_experiments/conservative/ASAP6_2/240823180449_cluster_06-50mWpermm2/analysis_output/events/events_roi001.csv,0.135330447
analysis_output,1,14.97547,14.029,0.140286,358.446,5.407,4.97,3.976,210.17228464419475,8e-05,6.121268,ASAP6.2,/Users/gts/Downloads/ASAP_experiments/conservative/ASAP6_2/240823180449_cluster_06-50mWpermm2/analysis_output/events/events_roi001.csv,0.075854803
analysis_output,1,18.336925,16.694,0.16694,334.45,5.59,4.97,2.982,250.09737827715352,-0.002253,5.380486,ASAP6.2,/Users/gts/Downloads/ASAP_experiments/conservative/ASAP6_2/240823180449_cluster_06-50mWpermm2/analysis_output/events/events_roi001.csv,0.09331945999999999
analysis_output,1,18.848796,8.404,0.084038,366.355,5.706,2.982,3.976,125.90262172284643,7e-05,5.991169,ASAP6.2,/Users/gts/Downloads/ASAP_experiments/conservative/ASAP6_2/240823180449_cluster_06-50mWpermm2/analysis_output/events/events_roi001.csv,0.047953224
analysis_output,1,20.119032,14.519,0.145188,333.851,4.659,3.976,3.976,217.5131086142322,-0.004408,4.824741,ASAP6.2,/Users/gts/Downloads/ASAP_experiments/conservative/ASAP6_2/240823180449_cluster_06-50mWpermm2/analysis_output/events/events_roi001.csv,0.067644021
analysis_output,1,21.356469,28.436,0.301742,492.054,5.022,2.982,2.982,426.0074906367041,-0.002571,4.915735,ASAP6.2,/Users/gts/Downloads/ASAP_experiments/conservative/ASAP6_2/240823180449_cluster_06-50mWpermm2/analysis_output/events/events_roi001.csv,0.142805592
